"run","case","counter","samples","mean","p50","p95","min","max","first","last"
"native-v2","profile-1080-small60","GC Allocated In Frame","721","8286770.7628","8294964.0000","8294964.0000","2387640.0000","8295168.0000","2387640.0000","8294964.0000"
"native-v2","profile-1080-small60","GC Used Memory","721","11332444.6713","11436032.0000","11436032.0000","3137536.0000","11436032.0000","3137536.0000","11436032.0000"
"native-v2","profile-1080-small60","GC Reserved Memory","721","33873920.0000","33873920.0000","33873920.0000","33873920.0000","33873920.0000","33873920.0000","33873920.0000"
"native-v2","profile-1080-small60","Total Used Memory","721","184684780.9861","184788371.0000","184788371.0000","176489680.0000","184788371.0000","176489875.0000","184788371.0000"
"native-v2","profile-1080-small60","Total Reserved Memory","721","302819781.0000","302819781.0000","302819781.0000","302819781.0000","302819781.0000","302819781.0000","302819781.0000"
"native-v2","profile-1080-small60","Gfx Used Memory","721","89893317.0000","89893317.0000","89893317.0000","89893317.0000","89893317.0000","89893317.0000","89893317.0000"
"native-v2","profile-1080-small60","Render Textures Bytes","721","75575640.0000","75575640.0000","75575640.0000","75575640.0000","75575640.0000","75575640.0000","75575640.0000"
"native-v2","profile-1080-small60","Render Textures Count","721","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"native-v2","profile-1080-small60","Draw Calls Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-1080-small60","SetPass Calls Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-1080-small60","Batches Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-1080-small60","Gfx.UpdateAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-1080-small60","Gfx.RequestAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-1080-small60","VFX.ParticleSystem.BatchReadbackCount","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-1080-small60","VFX.ParticleSystem.BatchReadbackBounds","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-1080-small60","Terrain.ReadbackHeightmap","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-1080-small60","ClothScene.ReadbackJob","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-1080-small60","Gfx.ReadbackImage","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-1080-small60","GC.Collect","721","198325.7975","184200.0000","288700.0000","93400.0000","1651100.0000","1651100.0000","253900.0000"
"native-v2","profile-1080-small60","Main Thread","721","16646115.9501","16664200.0000","16672200.0000","0.0000","17806900.0000","0.0000","16661700.0000"
"native-v2","profile-1080-small60","Graphics.Blit","721","57272.5381","55600.0000","78900.0000","0.0000","139300.0000","0.0000","59300.0000"
"native-v2","profile-1080-small60","EarlyUpdate.UpdateAsyncReadbackManager","721","115927.8779","109600.0000","177000.0000","0.0000","947700.0000","0.0000","141600.0000"
"native-v2","profile-4k-small30","GC Allocated In Frame","360","33092634.7667","33178164.0000","33178164.0000","2387640.0000","33178164.0000","2387640.0000","33178164.0000"
"native-v2","profile-4k-small30","GC Used Memory","360","36272116.6222","36364288.0000","36364288.0000","3182592.0000","36364288.0000","3182592.0000","36364288.0000"
"native-v2","profile-4k-small30","GC Reserved Memory","360","100237312.0000","100237312.0000","100237312.0000","100237312.0000","100237312.0000","100237312.0000","100237312.0000"
"native-v2","profile-4k-small30","Total Used Memory","360","483245463.6222","483337635.0000","483337635.0000","450155939.0000","483337635.0000","450155939.0000","483337635.0000"
"native-v2","profile-4k-small30","Total Reserved Memory","360","651200965.0000","651200965.0000","651200965.0000","651200965.0000","651200965.0000","651200965.0000","651200965.0000"
"native-v2","profile-4k-small30","Gfx Used Memory","360","338725317.0000","338725317.0000","338725317.0000","338725317.0000","338725317.0000","338725317.0000","338725317.0000"
"native-v2","profile-4k-small30","Render Textures Bytes","360","299524440.0000","299524440.0000","299524440.0000","299524440.0000","299524440.0000","299524440.0000","299524440.0000"
"native-v2","profile-4k-small30","Render Textures Count","360","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"native-v2","profile-4k-small30","Draw Calls Count","360","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-4k-small30","SetPass Calls Count","360","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-4k-small30","Batches Count","360","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-4k-small30","Gfx.UpdateAsyncReadbackData","360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-4k-small30","Gfx.RequestAsyncReadbackData","360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-4k-small30","VFX.ParticleSystem.BatchReadbackCount","360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-4k-small30","VFX.ParticleSystem.BatchReadbackBounds","360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-4k-small30","Terrain.ReadbackHeightmap","360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-4k-small30","ClothScene.ReadbackJob","360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-4k-small30","Gfx.ReadbackImage","360","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-4k-small30","GC.Collect","360","263695.5556","262800.0000","344800.0000","148300.0000","1623700.0000","1623700.0000","265800.0000"
"native-v2","profile-4k-small30","Main Thread","360","33267900.2778","33329200.0000","33340200.0000","0.0000","42368800.0000","0.0000","33324700.0000"
"native-v2","profile-4k-small30","Graphics.Blit","360","83039.4444","85800.0000","96800.0000","0.0000","193100.0000","0.0000","85700.0000"
"native-v2","profile-4k-small30","EarlyUpdate.UpdateAsyncReadbackManager","360","161603.3333","160600.0000","209000.0000","0.0000","566400.0000","0.0000","168000.0000"
"native-v2","profile-large30","GC Allocated In Frame","361","3683364.7645","3686964.0000","3686964.0000","2387640.0000","3687168.0000","2387640.0000","3686964.0000"
"native-v2","profile-large30","GC Used Memory","361","6869026.0388","6889472.0000","6889472.0000","3198976.0000","6889472.0000","3198976.0000","6889472.0000"
"native-v2","profile-large30","GC Reserved Memory","361","19181568.0000","19181568.0000","19181568.0000","19181568.0000","19181568.0000","19181568.0000","19181568.0000"
"native-v2","profile-large30","Total Used Memory","361","129521274.5069","129541735.0000","129541735.0000","125846040.0000","129541735.0000","125851239.0000","129541735.0000"
"native-v2","profile-large30","Total Reserved Memory","361","242065629.0000","242065629.0000","242065629.0000","242065629.0000","242065629.0000","242065629.0000","242065629.0000"
"native-v2","profile-large30","Gfx Used Memory","361","43831517.0000","43831517.0000","43831517.0000","43831517.0000","43831517.0000","43831517.0000","43831517.0000"
"native-v2","profile-large30","Render Textures Bytes","361","34121840.0000","34121840.0000","34121840.0000","34121840.0000","34121840.0000","34121840.0000","34121840.0000"
"native-v2","profile-large30","Render Textures Count","361","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"native-v2","profile-large30","Draw Calls Count","361","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
