"run","case","scope","calls","meanUs","p50Us","p95Us","maxUs","totalMs","meanAllocatedBytes","totalAllocatedBytes"
"native-v2","profile-1080-small60","Host.DecodeNow","721","101.2273","97.1000","127.7000","1339.2000","72.9849","-1.0000","-1"
"native-v2","profile-1080-small60","Host.Publish","721","3559.9252","3610.2000","4498.8000","6111.3000","2566.7061","-1.0000","-1"
"native-v2","profile-4k-small30","Host.DecodeNow","360","135.4747","139.5000","153.8000","295.8000","48.7709","-1.0000","-1"
"native-v2","profile-4k-small30","Host.Publish","360","20715.5417","21803.9000","23445.6000","41432.7000","7457.5950","-1.0000","-1"
"native-v2","profile-large30","Host.DecodeNow","361","97.5006","93.8000","126.7000","333.1000","35.1977","-1.0000","-1"
"native-v2","profile-large30","Host.Publish","361","3427.1720","3486.5000","4006.4000","4311.9000","1237.2091","-1.0000","-1"
"native-v2","profile-large60","Host.DecodeNow","721","89.0276","85.5000","112.0000","458.9000","64.1889","-1.0000","-1"
"native-v2","profile-large60","Host.Publish","721","3329.4076","3465.6000","3626.4000","7170.0000","2400.5029","-1.0000","-1"
"native-v2","profile-luma4-sample4","Host.DecodeNow","721","132.6802","129.6000","165.6000","532.9000","95.6624","-1.0000","-1"
"native-v2","profile-luma4-sample4","Host.Publish","721","3365.4888","3468.9000","3701.9000","5405.0000","2426.5174","-1.0000","-1"
"native-v2","profile-small30","Host.DecodeNow","361","87.5133","82.7000","105.9000","339.1000","31.5923","-1.0000","-1"
"native-v2","profile-small30","Host.Publish","361","524.0787","520.3000","641.0000","710.4000","189.1924","-1.0000","-1"
"native-v2","profile-small60","Host.DecodeNow","721","79.2753","79.2000","93.8000","362.2000","57.1575","-1.0000","-1"
"native-v2","profile-small60","Host.Publish","721","496.9534","513.6000","570.7000","688.5000","358.3034","-1.0000","-1"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.OnTSMPVariableReceived","720","7.1432","7.0000","9.8000","15.3000","5.1431","-1.0000","-1"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.TSMPBeforeEncode","720","0.4569","0.4000","0.6000","8.1000","0.3290","-1.0000","-1"
"udon-v2","profile-1080-small60","Host.DecodeNow","720","376.7043","385.0000","446.3000","622.8000","271.2271","-1.0000","-1"
