"run","case","seconds","publications","received","appliedInWindow","loopHz","frameP95ms","busyTicks","payloadBytes","GCCollections","managedStart","managedEnd","predicted","fallbacks"
"native-v2","profile-1080-small60","12.0080","721","721","721","60.0434","18.2380","0","57","720","3137536","11436032","962","0"
"native-v2","profile-4k-small30","12.0010","360","360","360","29.9975","42.8359","0","57","359","3182592","36364288","481","0"
"native-v2","profile-large30","12.0270","361","361","361","30.0157","34.8411","0","4121","360","3198976","6889472","482","0"
"native-v2","profile-large60","12.0057","721","721","721","60.0549","18.0979","0","4121","720","3190784","6881280","962","0"
"native-v2","profile-luma4-sample4","12.0048","721","721","721","60.0592","18.1333","0","4121","720","3194880","6885376","962","0"
"native-v2","profile-small30","12.0116","361","361","361","30.0542","33.6602","0","57","360","3112960","4038656","483","0"
"native-v2","profile-small60","12.0101","721","721","721","60.0327","16.9609","0","57","720","3137536","4063232","962","0"
"udon-v2","profile-1080-small60","12.0000","720","720","720","59.9999","22.4854","0","57","0","804380672","810045440","961","0"
"udon-v2","profile-4k-small30","12.0262","283","283","283","23.5320","47.1217","0","57","0","804958208","806203392","375","0"
"udon-v2","profile-large30","12.0182","361","361","361","30.0378","38.6738","0","4121","0","804864000","811216896","482","0"
"udon-v2","profile-large60","12.0002","718","718","718","59.8322","24.5092","0","4121","0","804028416","807800832","957","0"
"udon-v2","profile-luma4-sample4","12.0089","717","717","717","59.7057","24.6305","0","4121","0","804036608","807804928","956","0"
"udon-v2","profile-small30","12.0105","361","361","361","30.0571","34.5252","0","57","0","810373120","821215232","482","0"
"udon-v2","profile-small60","12.0033","721","721","721","60.0669","17.5225","0","57","0","805609472","815722496","962","0"
"native-one-slot","profile-large60","12.0074","721","632","632","60.0462","18.0571","95","4121","720","3194880","6885376","835","0"
"native-one-slot","profile-small60","12.0050","721","651","651","60.0584","16.9392","78","57","721","3108864","4034560","827","0"
"gpu-editor-v2","profile-1080-small60","0.5043","31","31","31","61.4701","17.9559","0","57","31","7864320","7749632","272","0"
"gpu-editor-v2","profile-4k-small30","0.5309","16","16","16","30.1356","52.8680","0","57","15","7913472","40984576","137","0"
"gpu-editor-v2","profile-large60","0.5036","31","31","31","61.5584","17.4027","0","4121","31","7901184","7794688","272","0"
"gpu-editor-v2","profile-luma4-sample4","0.5047","31","31","31","61.4257","18.0903","0","4121","31","7913472","7798784","272","0"
"gpu-editor-v2","profile-small30","0.5081","16","16","16","31.4902","39.1181","0","57","8","7811072","8638464","138","0"
