"run","case","pass","samples","repeats","gpuP50us","gpuP95us","gpuMinUs","gpuMaxUs"
"gpu-editor-v2","profile-1080-small60","snapshot","25","32","68.0640","68.1600","67.9680","68.2240"
"gpu-editor-v2","profile-1080-small60","header","25","32","8.1920","8.2240","8.1280","8.2560"
"gpu-editor-v2","profile-1080-small60","payload-with-header","25","32","5.6960","8.1600","5.6640","12.8000"
"gpu-editor-v2","profile-1080-small60","decoder-total","25","32","136.3200","228.0000","136.1920","228.1920"
"gpu-editor-v2","profile-4k-small30","snapshot","25","32","79.6480","79.9360","79.2640","79.9680"
"gpu-editor-v2","profile-4k-small30","header","25","32","3.0000","3.0080","2.9760","3.0080"
"gpu-editor-v2","profile-4k-small30","payload-with-header","25","32","2.9120","2.9440","2.9120","3.0080"
"gpu-editor-v2","profile-4k-small30","decoder-total","25","32","197.9200","198.1440","197.7280","198.6880"
"gpu-editor-v2","profile-large60","snapshot","25","32","30.5600","30.5920","30.4960","30.6240"
"gpu-editor-v2","profile-large60","header","25","32","8.2240","8.3840","8.1600","8.6080"
"gpu-editor-v2","profile-large60","payload-with-header","25","32","11.8400","12.3200","8.3840","12.5440"
"gpu-editor-v2","profile-large60","decoder-total","25","32","105.5920","105.9520","105.2800","283.6800"
"gpu-editor-v2","profile-luma4-sample4","snapshot","25","32","30.4640","30.5280","30.4320","30.5600"
"gpu-editor-v2","profile-luma4-sample4","header","25","32","74.7840","74.8480","72.1600","74.8800"
"gpu-editor-v2","profile-luma4-sample4","payload-with-header","25","32","63.0400","63.2960","62.9440","63.3280"
"gpu-editor-v2","profile-luma4-sample4","decoder-total","25","32","117.5360","117.7920","81.8880","117.7920"
"gpu-editor-v2","profile-small30","snapshot","25","32","8.0960","8.1280","8.0640","8.1600"
"gpu-editor-v2","profile-small30","header","25","32","8.2240","8.2560","8.1920","8.2560"
"gpu-editor-v2","profile-small30","payload-with-header","25","32","8.1280","8.1600","8.0640","8.2560"
"gpu-editor-v2","profile-small30","decoder-total","25","32","191.2000","191.4240","97.2480","191.4560"
