"run","case","scope","calls","meanUs","p50Us","p95Us"
"native-v2","profile-1080-small60","Host.Helper.BasePixelCopy","199","39.8367","39.7000","40.2000"
"native-v2","profile-1080-small60","Host.Helper.Control","199","0.0633","0.1000","0.1000"
"native-v2","profile-1080-small60","Host.Helper.CopyPixels","199","0.1467","0.1000","0.2000"
"native-v2","profile-1080-small60","Host.Helper.CopyRawBytes","199","0.1472","0.1000","0.2000"
"native-v2","profile-1080-small60","Host.Helper.HeaderCrc","199","0.1945","0.2000","0.2000"
"native-v2","profile-1080-small60","Host.Helper.LumaPayload","199","0.2497","0.2000","0.3000"
"native-v2","profile-1080-small60","Host.Helper.WriteRawBytes","199","0.1382","0.1000","0.2000"
"native-v2","profile-4k-small30","Host.Helper.BasePixelCopy","199","159.4658","158.5000","162.5000"
"native-v2","profile-4k-small30","Host.Helper.Control","199","0.0618","0.1000","0.1000"
"native-v2","profile-4k-small30","Host.Helper.CopyPixels","199","0.1457","0.1000","0.2000"
"native-v2","profile-4k-small30","Host.Helper.CopyRawBytes","199","0.1487","0.1000","0.2000"
"native-v2","profile-4k-small30","Host.Helper.HeaderCrc","199","0.1945","0.2000","0.2000"
"native-v2","profile-4k-small30","Host.Helper.LumaPayload","199","0.2402","0.2000","0.3000"
"native-v2","profile-4k-small30","Host.Helper.WriteRawBytes","199","0.1387","0.1000","0.2000"
"native-v2","profile-large30","Host.Helper.BasePixelCopy","199","17.7568","17.7000","17.7000"
"native-v2","profile-large30","Host.Helper.Control","199","0.0613","0.1000","0.1000"
"native-v2","profile-large30","Host.Helper.CopyPixels","199","5.2256","5.1000","5.4000"
"native-v2","profile-large30","Host.Helper.CopyRawBytes","199","5.0905","5.1000","5.1000"
"native-v2","profile-large30","Host.Helper.HeaderCrc","199","0.1879","0.2000","0.2000"
"native-v2","profile-large30","Host.Helper.LumaPayload","199","13.2467","13.2000","13.3000"
"native-v2","profile-large30","Host.Helper.WriteRawBytes","199","5.0744","5.1000","5.1000"
"native-v2","profile-large60","Host.Helper.BasePixelCopy","199","17.7643","17.7000","17.8000"
"native-v2","profile-large60","Host.Helper.Control","199","0.0593","0.1000","0.1000"
"native-v2","profile-large60","Host.Helper.CopyPixels","199","5.1533","5.1000","5.4000"
"native-v2","profile-large60","Host.Helper.CopyRawBytes","199","5.0834","5.1000","5.1000"
"native-v2","profile-large60","Host.Helper.HeaderCrc","199","0.1899","0.2000","0.2000"
"native-v2","profile-large60","Host.Helper.LumaPayload","199","12.8070","12.8000","12.8000"
"native-v2","profile-large60","Host.Helper.WriteRawBytes","199","5.0779","5.1000","5.1000"
"native-v2","profile-luma4-sample4","Host.Helper.BasePixelCopy","199","17.8101","17.7000","17.8000"
"native-v2","profile-luma4-sample4","Host.Helper.Control","199","0.0613","0.1000","0.1000"
"native-v2","profile-luma4-sample4","Host.Helper.CopyPixels","199","5.1548","5.1000","5.4000"
"native-v2","profile-luma4-sample4","Host.Helper.CopyRawBytes","199","5.0859","5.1000","5.1000"
"native-v2","profile-luma4-sample4","Host.Helper.HeaderCrc","199","0.1905","0.2000","0.2000"
"native-v2","profile-luma4-sample4","Host.Helper.LumaPayload","199","12.8111","12.8000","12.8000"
"native-v2","profile-luma4-sample4","Host.Helper.WriteRawBytes","199","5.0789","5.1000","5.1000"
"native-v2","profile-small30","Host.Helper.BasePixelCopy","199","4.3111","4.3000","4.3000"
"native-v2","profile-small30","Host.Helper.Control","199","0.0598","0.1000","0.1000"
"native-v2","profile-small30","Host.Helper.CopyPixels","199","0.1367","0.1000","0.2000"
"native-v2","profile-small30","Host.Helper.CopyRawBytes","199","0.1377","0.1000","0.2000"
"native-v2","profile-small30","Host.Helper.HeaderCrc","199","0.1814","0.2000","0.2000"
"native-v2","profile-small30","Host.Helper.LumaPayload","199","0.2367","0.2000","0.3000"
"native-v2","profile-small30","Host.Helper.WriteRawBytes","199","0.1317","0.1000","0.2000"
"native-v2","profile-small60","Host.Helper.BasePixelCopy","199","4.5618","4.5000","4.5000"
"native-v2","profile-small60","Host.Helper.Control","199","0.0603","0.1000","0.1000"
"native-v2","profile-small60","Host.Helper.CopyPixels","199","0.1457","0.1000","0.2000"
"native-v2","profile-small60","Host.Helper.CopyRawBytes","199","0.1417","0.1000","0.2000"
"native-v2","profile-small60","Host.Helper.HeaderCrc","199","0.1945","0.2000","0.2000"
"native-v2","profile-small60","Host.Helper.LumaPayload","199","0.2447","0.2000","0.3000"
"native-v2","profile-small60","Host.Helper.WriteRawBytes","199","0.1322","0.1000","0.2000"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.ProfileBasePixelCopy","199","9978.2653","10350.4000","10800.2000"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.ProfileControl","199","0.4467","0.4000","0.5000"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.ProfileCopyPixels","199","23.8005","23.6000","23.9000"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.ProfileCopyRawBytes","199","24.9930","24.9000","25.2000"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.ProfileHeaderCrc","199","42.0799","41.9000","42.3000"
"udon-v2","profile-1080-small60","ContinuousFrameProbe.ProfileLumaPayload","199","69.3156","69.0000","73.1000"
