"run","case","field","type","lengthOrWidth","height","storageBytes","runtimeBytes"
"native-v2","profile-1080-small60","_slotSnapshots[0]","R32G32B32A32_SFloat","1920","1080","33177600","33178072"
"native-v2","profile-1080-small60","_slotSnapshots[1]","R32G32B32A32_SFloat","1920","1080","33177600","33178072"
"native-v2","profile-1080-small60","_slotHeaderTextures[0]","R8G8B8A8_UNorm","14","1","56","528"
"native-v2","profile-1080-small60","_slotHeaderTextures[1]","R8G8B8A8_UNorm","14","1","56","528"
"native-v2","profile-1080-small60","_slotCombinedTextures[0]","R8G8B8A8_UNorm","29","1","116","588"
"native-v2","profile-1080-small60","_slotCombinedTextures[1]","R8G8B8A8_UNorm","29","1","116","588"
"native-v2","profile-1080-small60","_slotByteTextures[0]","R8G8B8A8_UNorm","512","1","2048","2520"
"native-v2","profile-1080-small60","_slotByteTextures[1]","R8G8B8A8_UNorm","512","1","2048","2520"
"native-v2","profile-1080-small60","_slotPixels[0]","Color32[]","29","0","116","0"
"native-v2","profile-1080-small60","_slotPixels[1]","Color32[]","29","0","116","0"
"native-v2","profile-1080-small60","_slotHeaders[0]","Byte[]","56","0","56","0"
"native-v2","profile-1080-small60","_slotHeaders[1]","Byte[]","56","0","56","0"
"native-v2","profile-1080-small60","_slotPayloads[0]","Byte[]","57","0","57","0"
"native-v2","profile-1080-small60","_slotPayloads[1]","Byte[]","57","0","57","0"
"native-v2","profile-1080-small60","_slotOptions[0]","Byte[]","5","0","5","0"
"native-v2","profile-1080-small60","_slotOptions[1]","Byte[]","5","0","5","0"
"native-v2","profile-1080-small60","_slotPredictedHeaders[0]","Byte[]","56","0","56","0"
"native-v2","profile-1080-small60","_slotPredictedHeaders[1]","Byte[]","56","0","56","0"
"native-v2","profile-1080-small60","_rawByteValueArrays[0]","Byte[]","32","0","32","0"
"native-v2","profile-1080-small60","_crc32Table","UInt32[]","256","0","1024","0"
"native-v2","profile-1080-small60","_predictionHeader","Byte[]","56","0","56","0"
"native-v2","profile-1080-small60","encoder.output","R8G8B8A8_UNorm","1920","1080","8294400","8294872"
"native-v2","profile-4k-small30","_slotSnapshots[0]","R32G32B32A32_SFloat","3840","2160","132710400","132710872"
"native-v2","profile-4k-small30","_slotSnapshots[1]","R32G32B32A32_SFloat","3840","2160","132710400","132710872"
"native-v2","profile-4k-small30","_slotHeaderTextures[0]","R8G8B8A8_UNorm","14","1","56","528"
"native-v2","profile-4k-small30","_slotHeaderTextures[1]","R8G8B8A8_UNorm","14","1","56","528"
"native-v2","profile-4k-small30","_slotCombinedTextures[0]","R8G8B8A8_UNorm","29","1","116","588"
"native-v2","profile-4k-small30","_slotCombinedTextures[1]","R8G8B8A8_UNorm","29","1","116","588"
"native-v2","profile-4k-small30","_slotByteTextures[0]","R8G8B8A8_UNorm","512","1","2048","2520"
