case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder
sender-only-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,59.9167,718,59.8333,0,0.0000,0,100.0000,2,0,0.0000,0.5939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
small-60-at-60,Native,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,720,60.0000,349,29.0833,350,51.3889,0,350,51.3889,0.6037,33.3041,49.9067,49.9963,50.5195,49.3358,49.9535,50.5886,34.0152,35.2031,67.0554,0,0,0
small-60-at-90,Native,Codec_Luma4,640,360,32,57,1,60,90,12.0000,89.9167,720,60.0000,511,42.5833,512,28.8889,0,512,52.5487,0.5920,22.2116,33.4223,44.4111,49.0647,32.7953,33.3309,44.4412,27.3196,27.1018,45.0258,0,0,0
small-60-at-120,Native,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,692,57.6667,693,3.7500,0,693,51.8750,0.5645,24.9381,25.1509,33.2893,33.3700,24.4663,24.9939,25.1579,22.2954,22.7539,34.0291,0,0,0
small-60-at-240,Native,Codec_Luma4,640,360,32,57,1,60,240,12.0000,239.5833,719,59.9167,719,59.9167,719,0.0000,1,2072,27.9304,0.5987,8.3390,12.5012,12.5265,21.4704,11.9244,20.8321,39.4897,8.6326,8.7432,20.9202,0,0,0
small-60-at--1,Native,Codec_Luma4,640,360,32,57,1,60,-1,12.0000,9849.5833,720,60.0000,720,60.0000,720,0.0000,0,52780,55.3450,0.5745,1.3355,1.5120,1.6309,2.3471,0.7308,17.0441,17.7612,1.3006,1.2861,16.3096,0,0,0
small-30-at-120,Native,Codec_Luma4,640,360,32,57,1,30,120,12.0000,119.7500,360,30.0000,360,30.0000,360,0.0000,0,1041,27.5574,0.6798,16.6717,24.9982,25.1903,33.3118,24.3378,41.6718,49.9954,17.4429,16.9624,41.8553,0,0,0
small-90-at-120,Native,Codec_Luma4,640,360,32,57,1,90,120,12.0000,119.9167,1080,90.0000,696,58.0000,697,35.4630,0,697,51.5636,0.5660,16.6502,24.9787,33.2737,34.7378,24.4130,24.9863,32.9361,19.9885,19.5098,33.8845,0,0,0
small-120-at-120,Native,Codec_Luma4,640,360,32,57,1,120,120,12.0000,120.0000,1440,120.0000,699,58.2500,700,51.3889,0,700,51.3889,0.5682,16.6413,24.9446,24.9881,33.3534,24.3684,24.9863,33.3786,16.9253,17.2551,33.8092,0,0,0
large-60-at-60,Native,Codec_Luma4,640,360,1024,1049,1,60,60,12.0000,60.0000,714,59.5000,345,28.7500,346,51.5406,7,346,51.9444,1.0455,33.3069,49.9680,50.0155,50.3638,48.9575,49.9878,50.4150,35.5001,34.1573,67.6416,0,0,0
large-60-at-120,Native,Codec_Luma4,640,360,1024,1049,1,60,120,12.0000,120.0000,720,60.0000,701,58.4167,702,2.5000,0,702,51.2500,1.0165,24.9448,25.2095,33.2810,33.4475,23.8197,24.9481,25.3601,21.9489,22.7426,34.4312,0,0,0
codec-0-sample4,Native,Codec_Luma4,640,360,1024,1049,4,60,120,12.0000,120.0000,720,60.0000,692,57.6667,693,3.7500,0,693,51.8750,1.0114,24.9099,25.4363,33.2683,33.3132,24.0205,24.9939,25.0549,22.9500,22.2637,34.4553,0,0,0
codec-1-sample4,Native,Codec_RGB16,640,360,1024,1049,4,60,120,12.0000,100.9167,606,50.5000,580,48.3333,581,4.1254,232,581,52.0231,0.7719,24.9307,25.1195,33.2984,41.5529,24.3355,24.9939,25.3906,23.9260,19.8866,34.5450,0,0,0
codec-2-sample4,Native,Codec_RGB20,640,360,1024,1049,4,60,120,12.0000,120.0000,720,60.0000,698,58.1667,699,2.9167,0,699,51.4583,0.7377,24.9107,24.9908,33.2508,33.3645,24.2661,24.9786,25.4974,19.5037,24.1939,34.0904,0,0,0
codec-3-sample4,Native,Codec_Color256,640,360,1024,1049,4,60,120,12.0000,119.9167,720,60.0000,689,57.4167,690,4.1667,0,690,52.0500,0.9106,24.9103,25.4568,33.2820,39.8910,24.1817,24.9939,25.1923,21.3098,22.9355,34.5573,0,0,0
hd-small,Native,Codec_Luma4,1280,720,32,57,1,60,120,12.0000,119.9167,720,60.0000,683,56.9167,684,5.0000,0,684,52.4670,1.8056,24.9482,32.6715,33.3070,33.5826,24.8968,24.9939,25.0397,24.4434,23.5026,41.6162,0,0,0
hd-large,Native,Codec_Luma4,1280,720,4096,4121,1,60,120,12.0000,120.0000,720,60.0000,685,57.0833,686,4.7222,0,686,52.3611,3.6840,24.9615,25.5497,33.3233,33.3522,22.8386,24.9939,25.0702,23.5140,24.1341,41.6282,0,0,0
sustained-60,Native,Codec_Luma4,640,360,32,57,1,60,60,60.0000,59.9833,3583,59.7167,1735,28.9167,1736,51.5490,17,1736,51.7644,0.5742,33.3064,49.9649,50.0097,66.6911,49.4192,49.9878,66.7114,34.9457,34.3108,67.1938,0,0,0
