case,path,codec,width,height,valueBytes,payloadBytes,sample,sendTarget,loopTarget,seconds,loopHz,published,txHz,appliedInWindow,applyHz,receivedAfterDrain,missPercent,schedulerMisses,captureCount,busyPercent,encodeP95ms,latencyP50ms,latencyP95ms,latencyP99ms,latencyMaxMs,snapshotP95ms,applyGapP95ms,applyGapMaxMs,latencyFirstThirdMs,latencyLastThirdMs,sourceAgeP95ms,decoderErrorObservations,corrupt,outOfOrder
small-60-at-60,UdonVM,Codec_Luma4,640,360,32,57,1,60,60,12.0000,60.0000,720,60.0000,355,29.5833,356,50.5556,0,356,50.5556,1.9088,33.2677,33.4145,49.9514,50.0610,32.1131,33.4740,50.1251,33.5496,33.6894,52.1177,0,0,0
small-60-at-90,UdonVM,Codec_Luma4,640,360,32,57,1,60,90,12.0000,90.0000,720,60.0000,537,44.7500,538,25.2778,0,538,50.1852,1.9338,22.1928,33.2716,33.4218,44.6676,22.2077,22.3389,33.4511,26.0353,26.3831,44.5007,0,0,0
small-60-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,60,120,12.0000,120.0000,720,60.0000,711,59.2500,712,1.1111,0,712,50.5556,1.9030,24.8054,25.0145,33.1172,33.3241,16.7232,16.7847,25.0626,18.9020,24.9109,35.2560,0,0,0
small-60-at-144,UdonVM,Codec_Luma4,640,360,32,57,1,60,144,12.0000,144.0000,720,60.0000,719,59.9167,719,0.1389,0,995,42.4190,1.8887,13.8587,14.0058,20.8741,34.5461,12.7163,20.9122,27.8168,14.0879,14.1535,27.8877,0,0,0
small-60-at-180,UdonVM,Codec_Luma4,640,360,32,57,1,60,180,12.0000,180.0000,720,60.0000,720,60.0000,720,0.0000,0,1414,34.5370,1.9592,11.1328,11.2417,16.7675,22.3636,9.9347,16.7770,27.7557,11.3388,11.3171,22.4350,0,0,0
small-60-at-240,UdonVM,Codec_Luma4,640,360,32,57,1,60,240,12.0000,240.0000,720,60.0000,720,60.0000,720,0.0000,0,2113,26.6319,1.9121,8.3569,12.4842,12.6299,12.7237,8.3823,20.6985,20.9579,8.5452,8.6314,21.0254,0,0,0
small-60-at--1,UdonVM,Codec_Luma4,640,360,32,57,1,60,-1,12.0000,1586.5833,720,60.0000,720,60.0000,720,0.0000,0,8593,54.8663,1.9211,4.5013,5.1340,6.5733,7.1350,3.0000,17.6926,19.3329,4.5230,4.6310,20.2970,0,0,0
small-15-at-60,UdonVM,Codec_Luma4,640,360,32,57,1,15,60,12.0000,60.0000,180,15.0000,180,15.0000,180,0.0000,0,537,25.4167,1.9709,33.3638,33.4600,50.1761,50.1875,32.0198,66.8182,83.4656,33.6459,33.6428,83.5352,0,0,0
small-30-at-60,UdonVM,Codec_Luma4,640,360,32,57,1,30,60,12.0000,60.0000,360,30.0000,356,29.6667,357,0.8333,0,360,50.0000,1.9571,33.2931,49.9217,50.0532,66.4556,33.2997,33.4778,50.0488,39.2166,39.6082,68.4787,0,0,0
small-30-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,30,120,12.0000,120.0000,360,30.0000,360,30.0000,360,0.0000,0,1071,25.6250,1.9616,16.6887,16.7500,24.9976,25.1142,14.9714,33.4778,41.7175,16.9034,16.6875,41.8612,0,0,0
small-90-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,90,120,12.0000,119.9167,1080,90.0000,711,59.2500,712,34.0741,0,712,50.5212,1.9008,16.6247,24.9283,25.0813,33.2843,16.6574,16.7847,27.4048,19.6985,19.5098,35.1847,0,0,0
small-120-at-120,UdonVM,Codec_Luma4,640,360,32,57,1,120,120,12.0000,120.0000,1427,118.9167,714,59.5000,715,49.8949,13,715,50.3472,1.9055,16.6097,16.7297,24.9365,33.1177,15.3595,16.7542,25.0549,16.9605,16.7784,27.0314,0,0,0
large-60-at-60,UdonVM,Codec_Luma4,640,360,1024,1049,1,60,60,12.0000,60.0000,708,59.0000,356,29.6667,357,49.5763,12,357,50.4167,3.4996,33.2695,33.6234,49.9629,50.2953,31.2050,33.6761,50.3387,33.5433,33.6885,53.0602,0,0,0
large-60-at-120,UdonVM,Codec_Luma4,640,360,1024,1049,1,60,120,12.0000,120.0000,720,60.0000,711,59.2500,712,1.1111,0,714,50.4167,3.5384,16.8328,25.6607,25.7953,34.0575,16.7060,16.9830,25.1617,20.2527,20.5080,36.7814,0,0,0
codec-0-sample4,UdonVM,Codec_Luma4,640,360,1024,1049,4,60,120,12.0000,120.0000,720,60.0000,715,59.5833,716,0.5556,0,716,50.2778,3.4889,25.5203,25.6221,25.7247,33.8395,16.6884,16.7847,25.3601,21.6725,25.5474,36.8023,0,0,0
codec-1-sample4,UdonVM,Codec_RGB16,640,360,1024,1049,4,60,120,12.0000,120.0000,720,60.0000,705,58.7500,706,1.9444,0,706,50.9722,3.6321,25.5160,25.6315,33.8078,34.0552,16.7293,16.8762,25.1770,24.0461,25.7042,37.0393,0,0,0
codec-2-sample4,UdonVM,Codec_RGB20,640,360,1024,1049,4,60,120,12.0000,104.5000,720,60.0000,359,29.9167,360,50.0000,0,360,71.2919,9.7566,37.9825,40.4285,41.1683,42.4521,30.8532,40.4968,42.5110,36.6037,36.2582,73.9797,0,0,0
codec-3-sample4,UdonVM,Codec_Color256,640,360,1024,1049,4,60,120,12.0000,82.0833,720,60.0000,258,21.5000,259,64.0278,0,259,73.7056,13.1002,49.7168,50.8398,55.5480,55.8317,37.8434,50.9033,55.9082,47.9798,46.3698,98.4104,0,0,0
hd-small,UdonVM,Codec_Luma4,1280,720,32,57,1,60,120,12.0000,120.0000,720,60.0000,378,31.5000,379,47.3611,0,379,73.6806,5.6326,33.2663,33.3449,33.4311,33.5139,28.0912,33.3862,33.5693,31.7577,32.2865,56.1171,0,0,0
hd-large,UdonVM,Codec_Luma4,1280,720,4096,4121,1,60,120,12.0000,83.9167,720,60.0000,280,23.3333,281,60.9722,0,281,72.0953,12.0619,47.6885,49.3682,50.0722,50.2043,37.5466,49.4385,50.2930,43.1094,43.9934,86.5518,0,0,0
sustained-60,UdonVM,Codec_Luma4,640,360,32,57,1,60,60,60.0000,60.0000,3448,57.4667,1786,29.7667,1787,48.1729,152,1787,50.3611,1.9323,33.2728,49.7117,49.9254,66.5714,33.2151,33.4473,50.1404,34.8431,35.0156,67.7264,0,0,0
