color_space,source_format,source_linear,target_format,target_readwrite,different_channels,max_abs_error
Gamma,RGBA32,False,ARGBFloat,Linear,0,0
Gamma,RGBA32,False,ARGBHalf,Linear,3036,0.000486373901
Gamma,RGBA32,False,ARGB32,Linear,0,0
Gamma,RGBA32,False,ARGB32,sRGB,0,0
Gamma,RGBA32,True,ARGBFloat,Linear,0,0
Gamma,RGBA32,True,ARGBHalf,Linear,3036,0.000486373901
Gamma,RGBA32,True,ARGB32,Linear,0,0
Gamma,RGBA32,True,ARGB32,sRGB,0,0
Gamma,RGBAHalf,False,ARGBFloat,Linear,0,0
Gamma,RGBAHalf,False,ARGBHalf,Linear,0,0
Gamma,RGBAHalf,False,ARGB32,Linear,3071,0.243164063
Gamma,RGBAHalf,False,ARGB32,sRGB,3071,0.243164063
Gamma,RGBAHalf,True,ARGBFloat,Linear,0,0
Gamma,RGBAHalf,True,ARGBHalf,Linear,0,0
Gamma,RGBAHalf,True,ARGB32,Linear,3071,0.243164063
Gamma,RGBAHalf,True,ARGB32,sRGB,3071,0.243164063
Gamma,RGBAFloat,False,ARGBFloat,Linear,0,0
Gamma,RGBAFloat,False,ARGBHalf,Linear,3062,0.000975966454
Gamma,RGBAFloat,False,ARGB32,Linear,3071,0.242751002
Gamma,RGBAFloat,False,ARGB32,sRGB,3071,0.242751002
Gamma,RGBAFloat,True,ARGBFloat,Linear,0,0
Gamma,RGBAFloat,True,ARGBHalf,Linear,3062,0.000975966454
Gamma,RGBAFloat,True,ARGB32,Linear,3071,0.242751002
Gamma,RGBAFloat,True,ARGB32,sRGB,3071,0.242751002
