color_space,source_format,source_linear,target_format,target_readwrite,different_channels,max_abs_error
Linear,RGBA32,False,ARGBFloat,Linear,0,0
Linear,RGBA32,False,ARGBHalf,Linear,0,0
Linear,RGBA32,False,ARGB32,Linear,3048,0.00213623047
Linear,RGBA32,False,ARGB32,sRGB,0,0
Linear,RGBA32,True,ARGBFloat,Linear,0,0
Linear,RGBA32,True,ARGBHalf,Linear,3036,0.000486373901
Linear,RGBA32,True,ARGB32,Linear,0,0
Linear,RGBA32,True,ARGB32,sRGB,3048,0.00793504715
Linear,RGBAHalf,False,ARGBFloat,Linear,0,0
Linear,RGBAHalf,False,ARGBHalf,Linear,0,0
Linear,RGBAHalf,False,ARGB32,Linear,3071,0.243164063
Linear,RGBAHalf,False,ARGB32,sRGB,2934,0.243164063
Linear,RGBAHalf,True,ARGBFloat,Linear,0,0
Linear,RGBAHalf,True,ARGBHalf,Linear,0,0
Linear,RGBAHalf,True,ARGB32,Linear,3071,0.243164063
Linear,RGBAHalf,True,ARGB32,sRGB,2934,0.243164063
Linear,RGBAFloat,False,ARGBFloat,Linear,0,0
Linear,RGBAFloat,False,ARGBHalf,Linear,3062,0.000975966454
Linear,RGBAFloat,False,ARGB32,Linear,3071,0.242751002
Linear,RGBAFloat,False,ARGB32,sRGB,3071,0.242751002
Linear,RGBAFloat,True,ARGBFloat,Linear,0,0
Linear,RGBAFloat,True,ARGBHalf,Linear,3062,0.000975966454
Linear,RGBAFloat,True,ARGB32,Linear,3071,0.242751002
Linear,RGBAFloat,True,ARGB32,sRGB,3071,0.242751002
