scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,8.1501,7.3000,13.2000,46.6000,2.9422,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.4576,0.4000,0.8000,1.0000,0.1652,-1.0000,-1
Host.DecodeNow,361,378.4734,380.1000,437.0000,512.7000,136.6289,-1.0000,-1
Host.Publish,361,737.2144,718.9000,972.8000,1086.8000,266.1344,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.4762,7.5000,12.3000,26.1000,6.1198,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,0.9810,0.9000,1.6000,8.9000,2.1248,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,8.0011,7.6000,11.9000,26.8000,2.8884,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,490.8521,481.9000,639.8000,747.2000,177.1976,-1.0000,-1
TSMPDecoder.DecodeNow,361,370.5183,372.5000,426.9000,497.3000,133.7571,-1.0000,-1
TSMPEncoder.EncodeNow,361,716.8385,700.2000,936.5000,1051.5000,258.7787,-1.0000,-1
