scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,721,7.5533,7.0000,11.2000,17.9000,5.4459,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,721,0.4171,0.4000,0.7000,1.2000,0.3007,-1.0000,-1
Host.DecodeNow,721,381.7255,378.9000,455.5000,678.3000,275.2241,-1.0000,-1
Host.Publish,721,5226.3738,5325.9000,5511.9000,7624.4000,3768.2155,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,1442,8.6839,7.5000,12.2000,253.9000,12.5222,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,4326,0.9908,0.9000,1.6000,59.1000,4.2860,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,721,7.9440,7.6000,10.5000,21.8000,5.7276,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,721,1817.0628,1836.5000,1954.4000,2100.5000,1310.1023,-1.0000,-1
TSMPDecoder.DecodeNow,721,374.0037,371.1000,444.3000,665.7000,269.6567,-1.0000,-1
TSMPEncoder.EncodeNow,721,5205.5455,5305.3000,5483.4000,7587.5000,3753.1983,-1.0000,-1
