scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,721,7.1771,6.9000,10.1000,14.1000,5.1747,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,721,0.3728,0.4000,0.6000,0.9000,0.2688,-1.0000,-1
Host.DecodeNow,721,370.3062,376.7000,423.8000,550.5000,266.9908,-1.0000,-1
Host.Publish,721,5089.9355,5214.5000,5379.5000,5672.6000,3669.8435,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,1442,8.2568,7.5000,11.1000,19.7000,11.9063,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,4326,0.9531,0.9000,1.5000,3.8000,4.1231,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,721,7.6958,7.6000,10.1000,17.4000,5.5487,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,721,425.0510,424.6000,508.4000,608.9000,306.4618,-1.0000,-1
TSMPDecoder.DecodeNow,721,362.7488,369.3000,414.7000,540.5000,261.5419,-1.0000,-1
TSMPEncoder.EncodeNow,721,5070.5386,5195.6000,5359.6000,5639.6000,3655.8583,-1.0000,-1
