scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,7.6690,7.1000,12.0000,56.5000,2.7685,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.4654,0.4000,0.8000,1.0000,0.1680,-1.0000,-1
Host.DecodeNow,361,374.8837,374.0000,441.6000,624.7000,135.3330,-1.0000,-1
Host.Publish,361,626.6911,620.0000,805.1000,933.4000,226.2355,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.4626,7.6000,12.0000,25.3000,6.1100,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,1.0061,0.9000,1.7000,9.2000,2.1793,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,7.8853,7.5000,11.8000,14.7000,2.8466,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,435.2446,428.7000,578.4000,654.1000,157.1233,-1.0000,-1
TSMPDecoder.DecodeNow,361,367.1925,366.6000,432.5000,616.0000,132.5565,-1.0000,-1
TSMPEncoder.EncodeNow,361,606.7645,600.8000,774.5000,908.1000,219.0420,-1.0000,-1
