counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,361,7181.4848,532.0000,532.0000,328.0000,2400996.0000,2400996.0000,532.0000
GC Used Memory,361,38754389.0970,38748160.0000,38846464.0000,38682624.0000,38854656.0000,38682624.0000,38854656.0000
GC Reserved Memory,361,45498368.0000,45498368.0000,45498368.0000,45498368.0000,45498368.0000,45498368.0000,45498368.0000
Total Used Memory,361,485880541.4266,485874313.0000,485972617.0000,485808777.0000,485980809.0000,485808777.0000,485980809.0000
Total Reserved Memory,361,596603141.0000,596603141.0000,596603141.0000,596603141.0000,596603141.0000,596603141.0000,596603141.0000
Gfx Used Memory,361,338866437.0000,338866437.0000,338866437.0000,338866437.0000,338866437.0000,338866437.0000,338866437.0000
Render Textures Bytes,361,299524440.0000,299524440.0000,299524440.0000,299524440.0000,299524440.0000,299524440.0000,299524440.0000
Render Textures Count,361,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
Draw Calls Count,361,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
SetPass Calls Count,361,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
Batches Count,361,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
Gfx.UpdateAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,361,553.7396,0.0000,0.0000,0.0000,199900.0000,199900.0000,0.0000
Main Thread,361,33237738.2271,33329300.0000,33339300.0000,0.0000,33607400.0000,0.0000,33344500.0000
Graphics.Blit,361,82768.9751,85900.0000,97400.0000,0.0000,181400.0000,0.0000,87100.0000
EarlyUpdate.UpdateAsyncReadbackManager,361,164090.0277,158600.0000,234000.0000,0.0000,407300.0000,0.0000,149500.0000
