counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,721,3793.2788,532.0000,532.0000,328.0000,2351866.0000,2351866.0000,532.0000
GC Used Memory,721,6977095.7226,6971392.0000,7102464.0000,6877184.0000,7127040.0000,6877184.0000,7028736.0000
GC Reserved Memory,721,8744960.0000,8744960.0000,8744960.0000,8744960.0000,8744960.0000,8744960.0000,8744960.0000
Total Used Memory,721,94893694.4466,94887998.0000,95019070.0000,94793790.0000,95043646.0000,94793790.0000,94945342.0000
Total Reserved Memory,721,229531869.0000,229531869.0000,229531869.0000,229531869.0000,229531869.0000,229531869.0000,229531869.0000
Gfx Used Memory,721,43831517.0000,43831517.0000,43831517.0000,43831517.0000,43831517.0000,43831517.0000,43831517.0000
Render Textures Bytes,721,34121840.0000,34121840.0000,34121840.0000,34121840.0000,34121840.0000,34121840.0000,34121840.0000
Render Textures Count,721,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
Draw Calls Count,721,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
SetPass Calls Count,721,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
Batches Count,721,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
Gfx.UpdateAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,721,1475.5895,0.0000,0.0000,0.0000,808500.0000,808500.0000,0.0000
Main Thread,721,16642112.2053,16664500.0000,16670200.0000,0.0000,16856300.0000,0.0000,16665000.0000
Graphics.Blit,721,51858.9459,49700.0000,71300.0000,0.0000,275900.0000,0.0000,47700.0000
EarlyUpdate.UpdateAsyncReadbackManager,721,100554.0915,96200.0000,166500.0000,0.0000,267600.0000,0.0000,110700.0000
