color_space,source_format,source_linear,source_kind,filter,policy,target_format,target_srgb,different_channels,max_abs_error
Linear,RGBA32,False,Texture2D,Point,Manual,ARGBFloat,False,0,0
Linear,RGBA32,False,Texture2D,Point,Manual,ARGBHalf,False,0,0
Linear,RGBA32,False,Texture2D,Point,Manual,ARGB32,False,3048,0.00213623047
Linear,RGBA32,False,Texture2D,Point,Manual,ARGB32,True,0,0
Linear,RGBA32,False,Texture2D,Point,Auto,ARGB32,True,0,0
Linear,RGBA32,False,Texture2D,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBA32,False,Texture2D,Bilinear,Manual,ARGBHalf,False,0,0
Linear,RGBA32,False,Texture2D,Bilinear,Manual,ARGB32,False,3048,0.00213623047
Linear,RGBA32,False,Texture2D,Bilinear,Manual,ARGB32,True,0,0
Linear,RGBA32,False,Texture2D,Bilinear,Auto,ARGB32,True,0,0
Linear,RGBA32,False,RenderTexture,Point,Manual,ARGBFloat,False,0,0
Linear,RGBA32,False,RenderTexture,Point,Manual,ARGBHalf,False,0,0
Linear,RGBA32,False,RenderTexture,Point,Manual,ARGB32,False,3048,0.00213623047
Linear,RGBA32,False,RenderTexture,Point,Manual,ARGB32,True,0,0
Linear,RGBA32,False,RenderTexture,Point,Auto,ARGB32,True,0,0
Linear,RGBA32,False,RenderTexture,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBA32,False,RenderTexture,Bilinear,Manual,ARGBHalf,False,0,0
Linear,RGBA32,False,RenderTexture,Bilinear,Manual,ARGB32,False,3048,0.00213623047
Linear,RGBA32,False,RenderTexture,Bilinear,Manual,ARGB32,True,0,0
Linear,RGBA32,False,RenderTexture,Bilinear,Auto,ARGB32,True,0,0
Linear,RGBA32,True,Texture2D,Point,Manual,ARGBFloat,False,0,0
Linear,RGBA32,True,Texture2D,Point,Manual,ARGBHalf,False,3036,0.000486373901
Linear,RGBA32,True,Texture2D,Point,Manual,ARGB32,False,0,0
Linear,RGBA32,True,Texture2D,Point,Manual,ARGB32,True,3048,0.00793504715
Linear,RGBA32,True,Texture2D,Point,Auto,ARGB32,False,0,0
Linear,RGBA32,True,Texture2D,Bilinear,Manual,ARGBFloat,False,0,0
Linear,RGBA32,True,Texture2D,Bilinear,Manual,ARGBHalf,False,3036,0.000486373901
Linear,RGBA32,True,Texture2D,Bilinear,Manual,ARGB32,False,0,0
Linear,RGBA32,True,Texture2D,Bilinear,Manual,ARGB32,True,3048,0.00793504715
Linear,RGBA32,True,Texture2D,Bilinear,Auto,ARGB32,False,0,0
Linear,RGBA32,True,RenderTexture,Point,Manual,ARGBFloat,False,0,0
Linear,RGBA32,True,RenderTexture,Point,Manual,ARGBHalf,False,3036,0.000486373901
Linear,RGBA32,True,RenderTexture,Point,Manual,ARGB32,False,0,0
Linear,RGBA32,True,RenderTexture,Point,Manual,ARGB32,True,3048,0.00793504715
Linear,RGBA32,True,RenderTexture,Point,Auto,ARGB32,False,0,0
