scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,8.8537,7.6000,13.8000,15.7000,3.1962,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.5416,0.5000,1.0000,1.1000,0.1955,-1.0000,-1
Host.DecodeNow,361,405.8623,400.7000,476.0000,686.0000,146.5163,-1.0000,-1
Host.Publish,361,780.8618,735.5000,1032.9000,1147.2000,281.8911,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.8325,7.7000,13.6000,40.6000,6.3771,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,1.0706,0.9000,2.0000,8.8000,2.3190,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,8.5715,7.7000,12.6000,18.8000,3.0943,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,463.0399,440.6000,601.4000,674.2000,167.1574,-1.0000,-1
TSMPDecoder.DecodeNow,361,397.5540,392.9000,465.8000,677.4000,143.5170,-1.0000,-1
TSMPEncoder.EncodeNow,361,757.8551,714.6000,999.4000,1110.6000,273.5857,-1.0000,-1
