scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,721,7.4735,7.0000,10.9000,113.1000,5.3884,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,721,0.4205,0.4000,0.6000,1.0000,0.3032,-1.0000,-1
Host.DecodeNow,721,391.9526,393.1000,479.7000,635.4000,282.5978,-1.0000,-1
Host.Publish,721,5036.1182,5181.1000,5392.0000,6696.8000,3631.0412,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,1442,8.4015,7.6000,11.4000,27.2000,12.1149,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,4326,0.9897,0.9000,1.6000,14.0000,4.2813,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,721,7.6391,7.4000,9.8000,59.5000,5.5078,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,721,425.2872,425.6000,516.7000,684.2000,306.6321,-1.0000,-1
TSMPDecoder.DecodeNow,721,384.2273,385.7000,469.3000,626.1000,277.0279,-1.0000,-1
TSMPEncoder.EncodeNow,721,5015.9710,5162.5000,5366.7000,6670.8000,3616.5151,-1.0000,-1
