field,type,lengthOrWidth,height,storageBytes,runtimeBytes
_slotSnapshots[0],R8G8B8A8_UNorm,1280,720,3686400,3686912
_slotSnapshots[1],R8G8B8A8_UNorm,1280,720,3686400,3686912
_slotHeaderTextures[0],R8G8B8A8_UNorm,14,1,56,568
_slotHeaderTextures[1],R8G8B8A8_UNorm,14,1,56,568
_slotCombinedTextures[0],R8G8B8A8_UNorm,256,5,5120,5632
_slotCombinedTextures[1],R8G8B8A8_UNorm,256,5,5120,5632
_slotByteTextures[0],R8G8B8A8_UNorm,512,3,6144,6656
_slotByteTextures[1],R8G8B8A8_UNorm,512,3,6144,6656
_slotReadbackBytes,Object[],2,0,16,0
_slotHeaders,Object[],2,0,16,0
_slotPayloads,Object[],2,0,16,0
_slotOptions,Object[],2,0,16,0
_slotPredictedHeaders,Object[],2,0,16,0
_rawByteValueArrays,Object[],1,0,8,0
_crc32Table,UInt32[],256,0,1024,0
_predictionHeader,Byte[],56,0,56,0
encoder.output,R8G8B8A8_UNorm,1280,720,3686400,3686912
