counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,721,3873.1678,612.0000,612.0000,612.0000,2351866.0000,2351866.0000,612.0000
GC Used Memory,721,3261109.0818,3248128.0000,3350528.0000,3198976.0000,3366912.0000,3198976.0000,3272704.0000
GC Reserved Memory,721,4005888.0000,4005888.0000,4005888.0000,4005888.0000,4005888.0000,4005888.0000,4005888.0000
Total Used Memory,721,61747070.0818,61734089.0000,61836489.0000,61684937.0000,61852873.0000,61684937.0000,61758665.0000
Total Reserved Memory,721,199050717.0000,199050717.0000,199050717.0000,199050717.0000,199050717.0000,199050717.0000,199050717.0000
Gfx Used Memory,721,18089437.0000,18089437.0000,18089437.0000,18089437.0000,18089437.0000,18089437.0000,18089437.0000
Render Textures Bytes,721,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000
Render Textures Count,721,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,721,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
SetPass Calls Count,721,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Batches Count,721,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Gfx.UpdateAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,721,3079.4730,0.0000,0.0000,0.0000,1495800.0000,1495800.0000,0.0000
Main Thread,721,16653620.8044,16664700.0000,16670200.0000,0.0000,23406800.0000,0.0000,16662500.0000
Graphics.Blit,721,51822.8849,52000.0000,66400.0000,0.0000,258800.0000,0.0000,50700.0000
EarlyUpdate.UpdateAsyncReadbackManager,721,90502.4965,84500.0000,134400.0000,0.0000,381100.0000,0.0000,88100.0000
