space,width,height,payload,path,cpu_mean_ms
Gamma,640,360,0,CPU,0.337185
Gamma,640,360,0,GPU,0.074585
Gamma,640,360,1,CPU,0.341755
Gamma,640,360,1,GPU,0.065580
Gamma,640,360,3,CPU,0.334715
Gamma,640,360,3,GPU,0.077855
Gamma,640,360,32,CPU,0.341135
Gamma,640,360,32,GPU,0.076055
Gamma,640,360,256,CPU,0.408195
Gamma,640,360,256,GPU,0.068330
Gamma,640,360,1560,CPU,0.755175
Gamma,640,360,1560,GPU,0.066935
Gamma,640,360,1560,CPU,0.735090
Gamma,640,360,1560,GPU,0.064405
Gamma,640,360,32,CPU,0.350840
Gamma,640,360,32,GPU,0.064175
Gamma,648,360,0,CPU,0.364675
Gamma,648,360,0,GPU,0.064930
Gamma,648,360,1,CPU,0.348170
Gamma,648,360,1,GPU,0.068410
Gamma,648,360,3,CPU,0.354210
Gamma,648,360,3,GPU,0.068965
Gamma,648,360,32,CPU,0.347695
Gamma,648,360,32,GPU,0.065075
Gamma,648,360,256,CPU,0.412360
Gamma,648,360,256,GPU,0.067670
Gamma,648,360,1579,CPU,0.770385
Gamma,648,360,1579,GPU,0.065555
Gamma,648,360,1579,CPU,0.751220
Gamma,648,360,1579,GPU,0.066425
Gamma,648,360,32,CPU,0.331425
Gamma,648,360,32,GPU,0.066825
Gamma,1280,720,0,CPU,1.210130
Gamma,1280,720,0,GPU,0.071630
Gamma,1280,720,1,CPU,1.179810
Gamma,1280,720,1,GPU,0.067560
Gamma,1280,720,3,CPU,1.112085
Gamma,1280,720,3,GPU,0.056585
Gamma,1280,720,32,CPU,1.103825
Gamma,1280,720,32,GPU,0.059320
Gamma,1280,720,256,CPU,1.246865
Gamma,1280,720,256,GPU,0.066265
Gamma,1280,720,4096,CPU,2.278235
Gamma,1280,720,4096,GPU,0.068670
Gamma,1280,720,6720,CPU,2.951775
Gamma,1280,720,6720,GPU,0.065950
Gamma,1280,720,32,CPU,1.188030
Gamma,1280,720,32,GPU,0.068670
Gamma,3840,2160,0,CPU,16.790675
Gamma,3840,2160,0,GPU,0.083655
Gamma,3840,2160,1,CPU,16.163235
Gamma,3840,2160,1,GPU,0.074690
Gamma,3840,2160,3,CPU,15.742010
Gamma,3840,2160,3,GPU,0.064070
Gamma,3840,2160,32,CPU,16.872835
Gamma,3840,2160,32,GPU,0.069730
Gamma,3840,2160,256,CPU,14.206125
Gamma,3840,2160,256,GPU,0.065470
Gamma,3840,2160,4096,CPU,17.641840
Gamma,3840,2160,4096,GPU,0.088385
Gamma,3840,2160,63360,CPU,33.635745
Gamma,3840,2160,63360,GPU,0.148875
Gamma,3840,2160,32,CPU,15.818695
Gamma,3840,2160,32,GPU,0.087840
Gamma,640,360,0,CPU,0.351150
Gamma,640,360,0,GPU,0.080305
Gamma,640,360,1,CPU,0.343640
Gamma,640,360,1,GPU,0.073945
Gamma,640,360,3,CPU,0.364565
Gamma,640,360,3,GPU,0.086660
Gamma,640,360,32,CPU,0.349575
Gamma,640,360,32,GPU,0.076420
Gamma,640,360,256,CPU,0.402840
Gamma,640,360,256,GPU,0.075170
Gamma,640,360,1560,CPU,0.721475
Gamma,640,360,1560,GPU,0.073765
Gamma,640,360,1560,CPU,0.748845
Gamma,640,360,1560,GPU,0.075970
Gamma,640,360,32,CPU,0.344315
Gamma,640,360,32,GPU,0.075595
