space,width,height,payload,path,cpu_mean_ms
Linear,640,360,0,CPU,0.362460
Linear,640,360,0,GPU,0.068225
Linear,640,360,1,CPU,0.354255
Linear,640,360,1,GPU,0.080765
Linear,640,360,3,CPU,0.350110
Linear,640,360,3,GPU,0.066960
Linear,640,360,32,CPU,0.307020
Linear,640,360,32,GPU,0.033840
Linear,640,360,256,CPU,0.415900
Linear,640,360,256,GPU,0.067915
Linear,640,360,1560,CPU,0.773875
Linear,640,360,1560,GPU,0.073910
Linear,640,360,1560,CPU,0.762295
Linear,640,360,1560,GPU,0.076830
Linear,640,360,32,CPU,0.366395
Linear,640,360,32,GPU,0.066360
Linear,648,360,0,CPU,0.366390
Linear,648,360,0,GPU,0.071660
Linear,648,360,1,CPU,0.369005
Linear,648,360,1,GPU,0.070365
Linear,648,360,3,CPU,0.360840
Linear,648,360,3,GPU,0.065430
Linear,648,360,32,CPU,0.319280
Linear,648,360,32,GPU,0.066655
Linear,648,360,256,CPU,0.425135
Linear,648,360,256,GPU,0.066350
Linear,648,360,1579,CPU,0.796480
Linear,648,360,1579,GPU,0.072945
Linear,648,360,1579,CPU,0.667840
Linear,648,360,1579,GPU,0.047765
Linear,648,360,32,CPU,0.367680
Linear,648,360,32,GPU,0.067610
Linear,1280,720,0,CPU,1.276230
Linear,1280,720,0,GPU,0.076280
Linear,1280,720,1,CPU,1.234815
Linear,1280,720,1,GPU,0.068265
Linear,1280,720,3,CPU,1.234950
Linear,1280,720,3,GPU,0.068830
Linear,1280,720,32,CPU,1.238760
Linear,1280,720,32,GPU,0.074865
Linear,1280,720,256,CPU,1.034385
Linear,1280,720,256,GPU,0.073450
Linear,1280,720,4096,CPU,2.314755
Linear,1280,720,4096,GPU,0.073290
Linear,1280,720,6720,CPU,2.635505
Linear,1280,720,6720,GPU,0.072350
Linear,1280,720,32,CPU,1.146585
Linear,1280,720,32,GPU,0.070600
Linear,3840,2160,0,CPU,15.451360
Linear,3840,2160,0,GPU,0.075330
Linear,3840,2160,1,CPU,14.628840
Linear,3840,2160,1,GPU,0.065650
Linear,3840,2160,3,CPU,16.555340
Linear,3840,2160,3,GPU,0.038845
Linear,3840,2160,32,CPU,15.271315
Linear,3840,2160,32,GPU,0.064155
Linear,3840,2160,256,CPU,16.915220
Linear,3840,2160,256,GPU,0.065605
Linear,3840,2160,4096,CPU,17.908185
Linear,3840,2160,4096,GPU,0.089605
Linear,3840,2160,63360,CPU,32.764320
Linear,3840,2160,63360,GPU,0.151475
Linear,3840,2160,32,CPU,16.792345
Linear,3840,2160,32,GPU,0.083075
Linear,640,360,0,CPU,0.349665
Linear,640,360,0,GPU,0.075200
Linear,640,360,1,CPU,0.338840
Linear,640,360,1,GPU,0.075650
Linear,640,360,3,CPU,0.361635
Linear,640,360,3,GPU,0.086605
Linear,640,360,32,CPU,0.345710
Linear,640,360,32,GPU,0.083465
Linear,640,360,256,CPU,0.399710
Linear,640,360,256,GPU,0.076195
Linear,640,360,1560,CPU,0.749160
Linear,640,360,1560,GPU,0.081360
Linear,640,360,1560,CPU,0.735540
Linear,640,360,1560,GPU,0.079270
Linear,640,360,32,CPU,0.289775
Linear,640,360,32,GPU,0.073020
