counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,361,7261.2632,612.0000,612.0000,408.0000,2400996.0000,2400996.0000,612.0000
GC Used Memory,361,3252280.7313,3227648.0000,3342336.0000,3198976.0000,3358720.0000,3198976.0000,3219456.0000
GC Reserved Memory,361,5476352.0000,5476352.0000,5476352.0000,5476352.0000,5476352.0000,5476352.0000,5476352.0000
Total Used Memory,361,185509003.3684,185484376.0000,185599064.0000,185455704.0000,185615448.0000,185455704.0000,185476184.0000
Total Reserved Memory,361,291671557.0000,291671557.0000,291671557.0000,291671557.0000,291671557.0000,291671557.0000,291671557.0000
Gfx Used Memory,361,107142661.0000,107142661.0000,107142661.0000,107142661.0000,107142661.0000,107142661.0000,107142661.0000
Render Textures Bytes,361,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000
Render Textures Count,361,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,361,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
SetPass Calls Count,361,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Batches Count,361,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Gfx.UpdateAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,361,5667.5900,0.0000,0.0000,0.0000,1572700.0000,1572700.0000,0.0000
Main Thread,361,33244030.1939,33331100.0000,33338500.0000,0.0000,35122500.0000,0.0000,33330200.0000
Graphics.Blit,361,54862.6039,54200.0000,77500.0000,0.0000,100600.0000,0.0000,53500.0000
EarlyUpdate.UpdateAsyncReadbackManager,361,100475.0693,97800.0000,165000.0000,0.0000,204800.0000,0.0000,81600.0000
