field,type,lengthOrWidth,height,storageBytes,runtimeBytes
_slotSnapshots[0],R8G8B8A8_UNorm,1280,720,3686400,3686872
_slotSnapshots[1],R8G8B8A8_UNorm,1280,720,3686400,3686872
_slotHeaderTextures[0],R8G8B8A8_UNorm,14,1,56,528
_slotHeaderTextures[1],R8G8B8A8_UNorm,14,1,56,528
_slotCombinedTextures[0],R8G8B8A8_UNorm,256,5,5120,5592
_slotCombinedTextures[1],R8G8B8A8_UNorm,256,5,5120,5592
_slotByteTextures[0],R8G8B8A8_UNorm,512,3,6144,6616
_slotByteTextures[1],R8G8B8A8_UNorm,512,3,6144,6616
_slotReadbackBytes[0],Byte[],6144,0,6144,0
_slotReadbackBytes[1],Byte[],5120,0,5120,0
_slotHeaders[0],Byte[],56,0,56,0
_slotHeaders[1],Byte[],56,0,56,0
_slotPayloads[0],Byte[],4121,0,4121,0
_slotPayloads[1],Byte[],4121,0,4121,0
_slotOptions[0],Byte[],5,0,5,0
_slotOptions[1],Byte[],5,0,5,0
_slotPredictedHeaders[0],Byte[],56,0,56,0
_slotPredictedHeaders[1],Byte[],56,0,56,0
_rawByteValueArrays[0],Byte[],4096,0,4096,0
_crc32Table,UInt32[],256,0,1024,0
_predictionHeader,Byte[],56,0,56,0
encoder.output,R8G8B8A8_UNorm,1280,720,3686400,3686872
encoder._gpuUpload,R8G8B8A8_UNorm,256,5,5120,10816
encoder._gpuUploadBytes,Byte[],5120,0,5120,0
encoder._gpuSymbols,R8G8B8A8_UNorm,160,90,57600,58072
