counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,721,3941.2427,612.0000,612.0000,408.0000,2400996.0000,2400996.0000,612.0000
GC Used Memory,721,3275328.6214,3260416.0000,3358720.0000,3215360.0000,3375104.0000,3215360.0000,3268608.0000
GC Reserved Memory,721,5476352.0000,5476352.0000,5476352.0000,5476352.0000,5476352.0000,5476352.0000,5476352.0000
Total Used Memory,721,96639076.5853,96624244.0000,96722548.0000,96578085.0000,96738932.0000,96579188.0000,96632436.0000
Total Reserved Memory,721,202759453.0000,202759453.0000,202759453.0000,202759453.0000,202759453.0000,202759453.0000,202759453.0000
Gfx Used Memory,721,18230557.0000,18230557.0000,18230557.0000,18230557.0000,18230557.0000,18230557.0000,18230557.0000
Render Textures Bytes,721,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000
Render Textures Count,721,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,721,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
SetPass Calls Count,721,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Batches Count,721,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Gfx.UpdateAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,721,3164.9098,0.0000,0.0000,0.0000,1554300.0000,1554300.0000,0.0000
Main Thread,721,16648867.1290,16664600.0000,16671100.0000,0.0000,19999500.0000,0.0000,16664000.0000
Graphics.Blit,721,51937.0319,51800.0000,69200.0000,0.0000,98000.0000,0.0000,52400.0000
EarlyUpdate.UpdateAsyncReadbackManager,721,89668.7933,84500.0000,133200.0000,0.0000,229500.0000,0.0000,105000.0000
