counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,361,7125.3019,612.0000,612.0000,408.0000,2351866.0000,2351866.0000,612.0000
GC Used Memory,361,3165606.6482,3162112.0000,3231744.0000,3112960.0000,3239936.0000,3112960.0000,3211264.0000
GC Reserved Memory,361,4005888.0000,4005888.0000,4005888.0000,4005888.0000,4005888.0000,4005888.0000,4005888.0000
Total Used Memory,361,53259310.9778,53255817.0000,53325449.0000,53206665.0000,53333641.0000,53206665.0000,53304969.0000
Total Reserved Memory,361,190690821.0000,190690821.0000,190690821.0000,190690821.0000,190690821.0000,190690821.0000,190690821.0000
Gfx Used Memory,361,9729541.0000,9729541.0000,9729541.0000,9729541.0000,9729541.0000,9729541.0000,9729541.0000
Render Textures Bytes,361,3705240.0000,3705240.0000,3705240.0000,3705240.0000,3705240.0000,3705240.0000,3705240.0000
Render Textures Count,361,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,361,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
SetPass Calls Count,361,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Batches Count,361,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000,6.0000
Gfx.UpdateAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,361,4970.0831,0.0000,0.0000,0.0000,1565800.0000,1565800.0000,0.0000
Main Thread,361,33241574.7922,33331200.0000,33341700.0000,0.0000,33645100.0000,0.0000,33331100.0000
Graphics.Blit,361,58760.3878,55700.0000,81200.0000,0.0000,294700.0000,0.0000,52900.0000
EarlyUpdate.UpdateAsyncReadbackManager,361,106504.7091,100700.0000,178400.0000,0.0000,336600.0000,0.0000,108000.0000
