counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,361,39.5346,24.0000,24.0000,24.0000,4690.0000,24.0000,24.0000
GC Used Memory,361,876309211.8338,876253184.0000,880885760.0000,871321600.0000,881446912.0000,871321600.0000,881446912.0000
GC Reserved Memory,361,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000
Total Used Memory,361,1296306239.8227,1296250214.0000,1300882790.0000,1291318630.0000,1301443942.0000,1291318630.0000,1301443942.0000
Total Reserved Memory,361,2334665775.0000,2334665775.0000,2334665775.0000,2334665775.0000,2334665775.0000,2334665775.0000,2334665775.0000
Gfx Used Memory,361,126344239.0000,126344239.0000,126344239.0000,126344239.0000,126344239.0000,126344239.0000,126344239.0000
Render Textures Bytes,361,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000
Render Textures Count,361,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SetPass Calls Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Batches Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.UpdateAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReleaseReadbackEvents,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.WaitForReadbacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReadbackOutput,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.IntegrateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.UpdateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.ApplyUpdateFromAsyncReadBacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.TryUpdateFromAsyncReadBacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightmap.UpdateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BakeJobUpdateFromAsyncReadback.Execute,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IssueUpdateFromAsyncReadBackJobs,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Main Thread,361,48690.0277,48300.0000,53500.0000,23700.0000,241900.0000,48400.0000,241900.0000
Graphics.Blit,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EarlyUpdate.UpdateAsyncReadbackManager,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
