scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,7.6934,7.1000,12.4000,23.4000,2.7773,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.4471,0.4000,0.7000,1.0000,0.1614,-1.0000,-1
Host.DecodeNow,361,385.4396,385.9000,451.9000,535.7000,139.1437,-1.0000,-1
Host.Publish,361,496.6416,484.4000,659.6000,735.0000,179.2876,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.6348,7.8000,12.5000,25.7000,6.2343,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,1.0257,0.9000,1.7000,9.6000,2.2217,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,7.9695,7.6000,11.9000,15.4000,2.8770,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,439.1078,428.7000,584.8000,724.3000,158.5179,-1.0000,-1
TSMPDecoder.DecodeNow,361,377.8504,378.6000,442.4000,522.2000,136.4040,-1.0000,-1
TSMPEncoder.EncodeNow,361,476.5302,464.7000,629.4000,704.6000,172.0274,-1.0000,-1
