field,type,lengthOrWidth,height,storageBytes,runtimeBytes
_slotSnapshots[0],R8G8B8A8_UNorm,3840,2160,33177600,33178112
_slotSnapshots[1],R8G8B8A8_UNorm,3840,2160,33177600,33178112
_slotHeaderTextures[0],R8G8B8A8_UNorm,14,1,56,568
_slotHeaderTextures[1],R8G8B8A8_UNorm,14,1,56,568
_slotCombinedTextures[0],R8G8B8A8_UNorm,29,1,116,628
_slotCombinedTextures[1],R8G8B8A8_UNorm,29,1,116,628
_slotByteTextures[0],R8G8B8A8_UNorm,512,1,2048,2560
_slotByteTextures[1],R8G8B8A8_UNorm,512,1,2048,2560
_slotReadbackBytes[0],Byte[],116,0,116,0
_slotReadbackBytes[1],Byte[],116,0,116,0
_slotHeaders[0],Byte[],56,0,56,0
_slotHeaders[1],Byte[],56,0,56,0
_slotPayloads[0],Byte[],57,0,57,0
_slotPayloads[1],Byte[],57,0,57,0
_slotOptions[0],Byte[],5,0,5,0
_slotOptions[1],Byte[],5,0,5,0
_slotPredictedHeaders[0],Byte[],56,0,56,0
_slotPredictedHeaders[1],Byte[],56,0,56,0
_rawByteValueArrays[0],Byte[],32,0,32,0
_crc32Table,UInt32[],256,0,1024,0
_predictionHeader,Byte[],56,0,56,0
encoder.output,R8G8B8A8_UNorm,3840,2160,33177600,33178112
encoder._gpuUpload,R8G8B8A8_UNorm,256,1,1024,2728
encoder._gpuUploadBytes,Byte[],1024,0,1024,0
encoder._gpuSymbols,R8G8B8A8_UNorm,480,270,518400,518912
