counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,721,5563.7115,24.0000,24.0000,24.0000,3981501.0000,3981501.0000,24.0000
GC Used Memory,721,881446599.5451,881364992.0000,886194176.0000,876720128.0000,886845440.0000,876720128.0000,886845440.0000
GC Reserved Memory,721,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000,1553801216.0000
Total Used Memory,721,1379069157.7406,1379036967.0000,1383866151.0000,1372313991.0000,1384517415.0000,1372313991.0000,1384517415.0000
Total Reserved Memory,721,2376092487.0000,2376092487.0000,2376092487.0000,2376092487.0000,2376092487.0000,2376092487.0000,2376092487.0000
Gfx Used Memory,721,37432135.0000,37432135.0000,37432135.0000,37432135.0000,37432135.0000,37432135.0000,37432135.0000
Render Textures Bytes,721,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000
Render Textures Count,721,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,721,0.0083,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000
SetPass Calls Count,721,0.0083,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000
Batches Count,721,0.0083,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000
Gfx.UpdateAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReleaseReadbackEvents,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.WaitForReadbacks,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReadbackOutput,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.IntegrateFromAsyncReadBack,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.UpdateFromAsyncReadBack,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.ApplyUpdateFromAsyncReadBacks,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.TryUpdateFromAsyncReadBacks,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightmap.UpdateFromAsyncReadBack,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BakeJobUpdateFromAsyncReadback.Execute,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IssueUpdateFromAsyncReadBackJobs,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Main Thread,721,49576.4216,48300.0000,52800.0000,0.0000,958200.0000,0.0000,47800.0000
Graphics.Blit,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EarlyUpdate.UpdateAsyncReadbackManager,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
