scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,721,6.9423,6.7000,9.2000,46.4000,5.0054,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,721,0.4465,0.4000,0.7000,1.2000,0.3219,-1.0000,-1
Host.DecodeNow,721,377.3462,381.7000,428.8000,552.3000,272.0666,-1.0000,-1
Host.Publish,721,475.0786,472.6000,571.8000,976.5000,342.5317,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,1442,8.4570,7.8000,10.8000,20.5000,12.1950,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,4326,0.9728,0.9000,1.5000,8.5000,4.2082,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,721,7.5262,7.4000,9.6000,17.7000,5.4264,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,721,421.1029,422.1000,495.0000,746.5000,303.6152,-1.0000,-1
TSMPDecoder.DecodeNow,721,370.0588,374.4000,419.9000,536.1000,266.8124,-1.0000,-1
TSMPEncoder.EncodeNow,721,456.5878,454.9000,545.8000,916.3000,329.1998,-1.0000,-1
