field,type,lengthOrWidth,height,storageBytes,runtimeBytes
_slotSnapshots[0],R8G8B8A8_UNorm,1280,720,3686400,3686912
_slotSnapshots[1],R8G8B8A8_UNorm,1280,720,3686400,3686912
_slotHeaderTextures[0],R8G8B8A8_UNorm,14,1,56,568
_slotHeaderTextures[1],R8G8B8A8_UNorm,14,1,56,568
_slotCombinedTextures[0],R8G8B8A8_UNorm,256,5,5120,5632
_slotCombinedTextures[1],R8G8B8A8_UNorm,256,5,5120,5632
_slotByteTextures[0],R8G8B8A8_UNorm,512,3,6144,6656
_slotByteTextures[1],R8G8B8A8_UNorm,512,3,6144,6656
_slotReadbackBytes[0],Byte[],6144,0,6144,0
_slotReadbackBytes[1],Byte[],5120,0,5120,0
_slotHeaders[0],Byte[],56,0,56,0
_slotHeaders[1],Byte[],56,0,56,0
_slotPayloads[0],Byte[],4121,0,4121,0
_slotPayloads[1],Byte[],4121,0,4121,0
_slotOptions[0],Byte[],5,0,5,0
_slotOptions[1],Byte[],5,0,5,0
_slotPredictedHeaders[0],Byte[],56,0,56,0
_slotPredictedHeaders[1],Byte[],56,0,56,0
_rawByteValueArrays[0],Byte[],4096,0,4096,0
_crc32Table,UInt32[],256,0,1024,0
_predictionHeader,Byte[],56,0,56,0
encoder.output,R8G8B8A8_UNorm,1280,720,3686400,3686912
encoder._gpuUpload,R8G8B8A8_UNorm,256,5,5120,10920
encoder._gpuUploadBytes,Byte[],5120,0,5120,0
encoder._gpuSymbols,R8G8B8A8_UNorm,160,90,57600,58112
