counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,361,31.8172,24.0000,24.0000,24.0000,780.0000,24.0000,24.0000
GC Used Memory,361,827162669.3850,827170816.0000,831795200.0000,822071296.0000,832241664.0000,822071296.0000,832241664.0000
GC Reserved Memory,361,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000
Total Used Memory,361,1247154637.3850,1247162784.0000,1251787168.0000,1242063264.0000,1252233632.0000,1242063264.0000,1252233632.0000
Total Reserved Memory,361,2315529263.0000,2315529263.0000,2315529263.0000,2315529263.0000,2315529263.0000,2315529263.0000,2315529263.0000
Gfx Used Memory,361,126344239.0000,126344239.0000,126344239.0000,126344239.0000,126344239.0000,126344239.0000,126344239.0000
Render Textures Bytes,361,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000,100977240.0000
Render Textures Count,361,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SetPass Calls Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Batches Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.UpdateAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReleaseReadbackEvents,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.WaitForReadbacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReadbackOutput,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.IntegrateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.UpdateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.ApplyUpdateFromAsyncReadBacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.TryUpdateFromAsyncReadBacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightmap.UpdateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BakeJobUpdateFromAsyncReadback.Execute,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IssueUpdateFromAsyncReadBackJobs,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Main Thread,361,59120.7756,48200.0000,53300.0000,24900.0000,3903100.0000,47800.0000,49700.0000
Graphics.Blit,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EarlyUpdate.UpdateAsyncReadbackManager,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
