scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,8.4247,7.4000,13.2000,19.2000,3.0413,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.5892,0.5000,1.1000,1.4000,0.2127,-1.0000,-1
Host.DecodeNow,361,387.3817,381.9000,458.7000,673.9000,139.8448,-1.0000,-1
Host.Publish,361,517.5881,486.7000,696.6000,938.4000,186.8493,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.8806,7.7000,13.5000,105.0000,6.4118,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,0.9864,0.8000,1.8000,51.3000,2.1365,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,8.5543,7.7000,13.1000,16.4000,3.0881,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,456.3468,434.2000,607.0000,686.3000,164.7412,-1.0000,-1
TSMPDecoder.DecodeNow,361,379.5665,374.7000,449.9000,656.2000,137.0235,-1.0000,-1
TSMPEncoder.EncodeNow,361,496.8789,468.2000,665.8000,903.9000,179.3733,-1.0000,-1
