counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,361,54.4488,24.0000,24.0000,24.0000,3232.0000,24.0000,24.0000
GC Used Memory,361,827092436.0332,827052032.0000,831795200.0000,821927936.0000,832327680.0000,821927936.0000,832327680.0000
GC Reserved Memory,361,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000
Total Used Memory,361,1158175972.8864,1158128108.0000,1162890087.0000,1153004012.0000,1163422614.0000,1153004012.0000,1163422614.0000
Total Reserved Memory,361,2226617159.0000,2226617159.0000,2226617159.0000,2226617159.0000,2226617159.0000,2226617159.0000,2226617159.0000
Gfx Used Memory,361,37432135.0000,37432135.0000,37432135.0000,37432135.0000,37432135.0000,37432135.0000,37432135.0000
Render Textures Bytes,361,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000,12061040.0000
Render Textures Count,361,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SetPass Calls Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Batches Count,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.UpdateAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReleaseReadbackEvents,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.WaitForReadbacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReadbackOutput,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.IntegrateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.UpdateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.ApplyUpdateFromAsyncReadBacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.TryUpdateFromAsyncReadBacks,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightmap.UpdateFromAsyncReadBack,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BakeJobUpdateFromAsyncReadback.Execute,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IssueUpdateFromAsyncReadBackJobs,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Main Thread,361,48430.7479,48100.0000,55900.0000,23300.0000,229500.0000,47600.0000,47800.0000
Graphics.Blit,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EarlyUpdate.UpdateAsyncReadbackManager,361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
