scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,361,7.2576,7.0000,10.8000,15.7000,2.6200,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,361,0.4224,0.4000,0.7000,1.2000,0.1525,-1.0000,-1
Host.DecodeNow,361,367.3997,374.2000,432.9000,741.0000,132.6313,-1.0000,-1
Host.Publish,361,479.5363,476.7000,600.6000,804.8000,173.1126,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,722,8.2305,7.5000,11.0000,53.3000,5.9424,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,2166,0.9500,0.9000,1.5000,8.7000,2.0576,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,361,7.6684,7.5000,11.4000,16.9000,2.7683,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,361,425.9302,423.1000,551.4000,639.8000,153.7608,-1.0000,-1
TSMPDecoder.DecodeNow,361,360.1657,367.1000,424.3000,727.2000,130.0198,-1.0000,-1
TSMPEncoder.EncodeNow,361,461.0271,459.0000,574.4000,770.8000,166.4308,-1.0000,-1
