counter,samples,mean,p50,p95,min,max,first,last
GC Allocated In Frame,721,5567.3745,24.0000,24.0000,24.0000,3980893.0000,3980893.0000,24.0000
GC Used Memory,721,828036691.0846,828006400.0000,833122304.0000,822476800.0000,833712128.0000,822476800.0000,833712128.0000
GC Reserved Memory,721,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000,1517887488.0000
Total Used Memory,721,1150732501.5409,1150702029.0000,1155817933.0000,1145172429.0000,1156407757.0000,1145172429.0000,1156407757.0000
Total Reserved Memory,721,2218257263.0000,2218257263.0000,2218257263.0000,2218257263.0000,2218257263.0000,2218257263.0000,2218257263.0000
Gfx Used Memory,721,29072239.0000,29072239.0000,29072239.0000,29072239.0000,29072239.0000,29072239.0000,29072239.0000
Render Textures Bytes,721,3705240.0000,3705240.0000,3705240.0000,3705240.0000,3705240.0000,3705240.0000,3705240.0000
Render Textures Count,721,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000,11.0000
Draw Calls Count,721,0.0083,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000
SetPass Calls Count,721,0.0083,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000
Batches Count,721,0.0083,0.0000,0.0000,0.0000,6.0000,6.0000,0.0000
Gfx.UpdateAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.RequestAsyncReadbackData,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReleaseReadbackEvents,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.WaitForReadbacks,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
RadeonRaysJobCompositeLightmap.ReadbackOutput,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.IntegrateFromAsyncReadBack,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.UpdateFromAsyncReadBack,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.ApplyUpdateFromAsyncReadBacks,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightprobes.TryUpdateFromAsyncReadBacks,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GPULightmapper.Lightmap.UpdateFromAsyncReadBack,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
BakeJobUpdateFromAsyncReadback.Execute,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IssueUpdateFromAsyncReadBackJobs,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackCount,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VFX.ParticleSystem.BatchReadbackBounds,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Terrain.ReadbackHeightmap,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ClothScene.ReadbackJob,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Gfx.ReadbackImage,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GC.Collect,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Main Thread,721,48601.8031,48100.0000,54300.0000,0.0000,165800.0000,0.0000,48400.0000
Graphics.Blit,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
EarlyUpdate.UpdateAsyncReadbackManager,721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
