scope,calls,meanUs,p50Us,p95Us,maxUs,totalMs,meanAllocatedBytes,totalAllocatedBytes
ContinuousFrameProbe.OnTSMPVariableReceived,721,7.3391,6.9000,10.9000,44.9000,5.2915,-1.0000,-1
ContinuousFrameProbe.TSMPBeforeEncode,721,0.4687,0.4000,0.7000,8.2000,0.3379,-1.0000,-1
Host.DecodeNow,721,373.7861,373.9000,437.6000,639.6000,269.4998,-1.0000,-1
Host.Publish,721,482.1079,475.7000,606.6000,821.4000,347.5998,-1.0000,-1
TSMPCodecLuma4.__0_PrepareDecode,1442,8.3263,7.6000,11.2000,27.6000,12.0065,-1.0000,-1
TSMPCodecLuma4.ApplyDecodeOptions,4326,0.9555,0.9000,1.4000,21.1000,4.1334,-1.0000,-1
TSMPCodecLuma4.OnTSMPEncoderQuery,721,7.8284,7.4000,11.2000,107.7000,5.6443,-1.0000,-1
TSMPDecoder._onAsyncGpuReadbackComplete,721,424.4863,419.2000,519.6000,811.9000,306.0546,-1.0000,-1
TSMPDecoder.DecodeNow,721,366.3236,366.9000,426.8000,630.8000,264.1193,-1.0000,-1
TSMPEncoder.EncodeNow,721,463.8476,458.5000,581.4000,785.8000,334.4341,-1.0000,-1
