case,count,event,mean_us,p95_us,samples
control,0,Control,0.2675,0.1000,80
colors,3600,LoopColors,2.1950,2.2000,80
colors,3600,BulkColors,1.1538,1.2000,80
colors,14400,LoopColors,5.3987,5.4000,80
colors,14400,BulkColors,4.3425,4.4000,80
colors,32400,LoopColors,10.4288,10.5000,80
colors,32400,BulkColors,9.4412,9.5000,80
colors,129600,LoopColors,37.6888,38.0000,80
colors,129600,BulkColors,36.2888,36.6000,80
bytes,32,LoopBytes,1.9688,2.0000,80
bytes,32,BulkBytes,0.2325,0.3000,80
bytes,4096,LoopBytes,2.1900,2.2000,80
bytes,4096,BulkBytes,0.4775,0.5000,80
bytes,65535,LoopBytes,7.0338,7.1000,80
bytes,65535,BulkBytes,5.1075,5.2000,80
raster-640x360,0,CpuRaster,80.7275,165.2000,80
raster-640x360,0,GpuRaster,66.4450,76.9000,80
raster-640x360,32,CpuRaster,158.2313,166.6000,80
raster-640x360,32,GpuRaster,65.9100,78.7000,80
raster-640x360,256,CpuRaster,405.3725,414.2000,80
raster-640x360,256,GpuRaster,60.1675,67.4000,80
raster-640x360,1560,CpuRaster,1808.8325,1923.1000,80
raster-640x360,1560,GpuRaster,63.1175,72.4000,80
raster-640x360,1560,CpuRaster,1872.8125,1999.3000,80
raster-640x360,1560,GpuRaster,63.6913,83.5000,80
raster-640x360,32,CpuRaster,155.8688,162.4000,80
raster-640x360,32,GpuRaster,63.1788,73.6000,80
raster-1280x720,0,CpuRaster,182.4625,254.5000,80
raster-1280x720,0,GpuRaster,60.1363,68.6000,80
raster-1280x720,32,CpuRaster,166.2713,172.9000,80
raster-1280x720,32,GpuRaster,62.3538,69.5000,80
raster-1280x720,256,CpuRaster,421.7613,451.5000,80
raster-1280x720,256,GpuRaster,62.7825,73.5000,80
raster-1280x720,4096,CpuRaster,4628.7963,4788.3000,80
raster-1280x720,4096,GpuRaster,72.3700,158.5000,80
raster-1280x720,6720,CpuRaster,7506.1088,7759.5000,80
raster-1280x720,6720,GpuRaster,60.8563,66.1000,80
raster-1280x720,32,CpuRaster,165.5338,173.4000,80
raster-1280x720,32,GpuRaster,60.6613,66.0000,80
raster-3840x2160,0,CpuRaster,366.2863,405.8000,80
raster-3840x2160,0,GpuRaster,99.5263,383.3000,80
raster-3840x2160,32,CpuRaster,199.8138,268.2000,80
raster-3840x2160,32,GpuRaster,63.8663,74.9000,80
raster-3840x2160,256,CpuRaster,402.4063,500.0000,80
raster-3840x2160,256,GpuRaster,61.6650,68.5000,80
raster-3840x2160,4096,CpuRaster,4616.5613,4821.4000,80
raster-3840x2160,4096,GpuRaster,61.5400,68.4000,80
raster-3840x2160,63360,CpuRaster,63480.8338,70643.9000,80
raster-3840x2160,63360,GpuRaster,116.7350,170.8000,80
raster-3840x2160,32,CpuRaster,250.2013,264.5000,80
raster-3840x2160,32,GpuRaster,72.0538,80.5000,80
